id,Gene name,strength,eigenvector,close,betweenness,community,core4854,core6920,core7464
AGAP000091,,148.26,0.001191275,0.227197097,0.000113366,6,core4854,,
AGAP000092,,7.4,0.00018292,0.194966534,0.00016965,5,,,
AGAP000093,,21.4,0.001538536,0.226996023,7.87E-05,4,,,
AGAP000094,,108.33,0.00064178,0.21808085,0.000161543,6,core4854,,
AGAP000095,,15.61,0.000424261,0.211908419,5.39E-07,5,,,
AGAP000096,,108.11,0.004253822,0.239145981,6.80E-05,5,core4854,,
AGAP000097,,72.61,0.004071414,0.247013463,0.001029976,4,,,
AGAP000098,APG1,1.39,7.57E-07,0.164986866,1.44E-08,1,,,
AGAP000099,STAT2,24.62,0.00137888,0.208743117,3.24E-05,4,,,
AGAP000100,,18.82,8.03E-05,0.183274633,0.000135394,9,,,
AGAP000102,,13.41,0.000177467,0.218954294,1.41E-06,1,,,
AGAP000104,,30.23,0.000212292,0.205911189,0.00026234,6,,,
AGAP000105,,14.85,5.92E-05,0.217544518,0.000179491,1,,,
AGAP000106,,21.12,0.00033929,0.230755291,7.62E-06,1,,,
AGAP000107,,0.74,1.17E-07,0.151510521,0,6,,,
AGAP000108,OEH,100.92,0.000866066,0.214256874,2.64E-05,6,core4854,,
AGAP000109,,137.32,0.017042657,0.256860526,0.001489324,5,core4854,core6920,core7464
AGAP000110,mRpL40,71.2,0.000603546,0.223058478,0.000192773,1,,,
AGAP000111,,8.22,9.56E-05,0.203777365,7.30E-05,2,,,
AGAP000113,,203.46,0.032568858,0.244523142,0.000401051,3,core4854,,
AGAP000114,,15.11,0.001278663,0.220110631,2.67E-06,2,,,
AGAP000115,GPRNPY4,37.74,0.000742386,0.21801137,3.71E-05,2,,,
AGAP000116,,6.88,6.29E-05,0.204196866,1.14E-05,4,,,
AGAP000118,,37.77,0.00046232,0.23092352,0.000323787,1,,,
AGAP000119,,22.79,0.000167098,0.225492957,0.000141413,1,,,
AGAP000120,,28.14,0.000318578,0.222620912,1.50E-06,1,,,
AGAP000121,,40.26,0.001731798,0.217342125,1.80E-05,2,,,
AGAP000123,CTLSE2,60.14,0.009218257,0.237891335,0.000233054,3,,,
AGAP000124,,1.97,3.42E-07,0.162684477,6.94E-05,12,,,
AGAP000127,,6.38,5.25E-05,0.205123488,0,1,,,
AGAP000128,,19.37,8.34E-06,0.194295438,7.16E-05,9,,,
AGAP000129,,203.37,0.001612378,0.234492342,0.001614074,6,core4854,,
AGAP000130,,89.72,0.008371432,0.232407535,0.000307213,3,,,
AGAP000131,,0.68,1.62E-06,0.165276138,0,2,,,
AGAP000132,,58.77,0.00079458,0.231526355,0.000298327,1,,,
AGAP000133,,4.83,1.34E-05,0.186724521,3.88E-07,8,,,
AGAP000136,,2.15,9.91E-07,0.175608036,4.24E-06,1,,,
AGAP000137,,40.14,0.000403822,0.218265743,0.000173672,6,,,
AGAP000138,alpha4,38.52,0.002445568,0.227292579,5.33E-05,6,,,
AGAP000139,,27.64,0.000283795,0.222671846,7.67E-05,1,,,
AGAP000140,IR100a,0.65,5.46E-09,0.139469643,0,1,,,
AGAP000141,,89.14,0.005070085,0.235055874,4.83E-05,4,core4854,,
AGAP000142,,21.66,0.000978088,0.215078532,7.88E-05,4,,,
AGAP000143,,2.04,1.81E-07,0.157961678,0.000177229,9,,,
AGAP000145,eff,22.76,0.00417234,0.227172536,4.45E-05,3,,,
AGAP000146,,73.46,0.005021445,0.236724846,7.61E-05,4,,,
AGAP000147,,7.74,0.000149382,0.211288848,0.000200301,8,,,
AGAP000149,,34.84,0.009762379,0.230483088,3.86E-06,3,,,
AGAP000150,SG6,7.86,2.25E-07,0.16381755,0,15,,,
AGAP000151,,18.59,8.37E-07,0.175988154,8.08E-05,15,,,
AGAP000152,,14.73,3.59E-05,0.205211345,0.00129321,15,,,
AGAP000153,,47.46,0.00403168,0.229811996,4.37E-05,2,,,
AGAP000155,,15.17,1.72E-05,0.202279725,1.11E-05,1,,,
AGAP000156,,4.78,3.43E-05,0.182453226,6.98E-06,2,,,
AGAP000158,,31.92,0.003578006,0.218187336,0.000100898,4,,,
AGAP000159,,36.92,0.000835368,0.21865481,1.07E-05,4,,,
AGAP000160,,46.06,0.001278019,0.207388259,0.00017488,13,,,
AGAP000161,,2.71,1.26E-06,0.171546295,1.65E-05,4,,,
AGAP000162,,2.09,5.76E-05,0.189284829,2.68E-06,5,,,
AGAP000164,,60.6,0.010488266,0.24108645,0.00012154,3,,,
AGAP000165,GSTMS1,47.66,0.002832462,0.23456695,0.000155189,5,,,
AGAP000168,GPRFZ3,36.79,0.000247033,0.229317003,0.000960785,2,,,
AGAP000169,,8.35,1.82E-05,0.204491329,1.33E-05,1,,,
AGAP000170,,164.49,0.012002397,0.240984334,0.000228829,5,core4854,core6920,core7464
AGAP000171,,2.06,1.35E-05,0.198550318,2.24E-06,6,,,
AGAP000173,,5.7,0.000259801,0.200501933,8.63E-08,5,,,
AGAP000177,CPR128,19.09,0.000746763,0.209020412,1.06E-05,2,,,
AGAP000178,,17.18,0.000105454,0.213808501,6.32E-06,1,,,
AGAP000179,,5.47,3.42E-05,0.20251278,0.000420342,16,,,
AGAP000180,,6.09,7.88E-06,0.18234439,7.82E-06,1,,,
AGAP000181,,0.65,1.02E-06,0.159661564,0,1,,,
AGAP000182,,9.01,3.53E-05,0.187501037,0,7,,,
AGAP000183,,29.7,0.000220763,0.203091583,4.42E-05,7,,,
AGAP000184,,2.04,0.00030475,0.206660503,0,3,,,
AGAP000185,,6.97,3.14E-05,0.193867695,0.000184244,4,,,
AGAP000186,,2.06,5.13E-07,0.170674297,3.60E-08,12,,,
AGAP000187,,2.7,4.17E-07,0.162431032,2.21E-06,4,,,
AGAP000188,,3.5,6.03E-05,0.188232646,3.01E-06,6,,,
AGAP000189,,11.92,0.000172173,0.231520918,6.32E-05,4,,,
AGAP000190,,34.09,0.00197193,0.215363451,6.56E-06,2,,,
AGAP000191,,5.49,5.13E-05,0.186693542,0.000170139,2,,,
AGAP000192,CYP4C26,0.68,4.36E-05,0.177752973,0,2,,,
AGAP000193,CYP4C37,23.42,0.000578733,0.209557708,1.77E-05,2,,,
AGAP000194,CYP4C25,0.67,1.56E-05,0.159287832,0,13,,,
AGAP000195,,1.37,6.17E-06,0.173542742,4.31E-08,4,,,
AGAP000196,,34.15,0.000137914,0.216092233,2.71E-05,8,,,
AGAP000198,Cht5-5,4.65,2.91E-05,0.185548309,5.90E-07,2,,,
AGAP000199,,12.54,0.000122407,0.221202312,3.78E-05,1,,,
AGAP000200,,25.45,0.000990132,0.243725484,0.001332928,2,,,
AGAP000201,,47.81,0.000709899,0.236065339,3.32E-05,1,,,
AGAP000202,,10.31,5.77E-05,0.202500584,1.73E-07,1,,,
AGAP000203,,2.06,5.26E-06,0.185283459,4.31E-07,4,,,
AGAP000204,,4.07,9.62E-06,0.182231472,2.09E-05,7,,,
AGAP000205,,117.84,0.027173264,0.244294011,0.000276569,3,core4854,,
AGAP000206,,7.67,3.63E-05,0.208062871,0.000101571,1,,,
AGAP000209,,6.81,0.000156139,0.200266451,3.15E-06,2,,,
AGAP000210,,0.68,5.85E-07,0.148994802,0,7,,,
AGAP000211,,13,7.69E-06,0.183391797,5.29E-05,7,,,
AGAP000213,,9.7,0.000161663,0.204105962,1.14E-06,6,,,
AGAP000214,,81.78,0.001007654,0.216086206,7.90E-05,6,core4854,,
AGAP000215,,92.75,0.01076986,0.238102444,0.000107108,2,core4854,,
AGAP000216,,37.69,0.000802428,0.209967235,1.62E-05,2,,,
AGAP000217,,24.52,0.001399755,0.212720982,1.79E-06,2,,,
AGAP000218,,89.92,0.016052811,0.241668636,0.000168137,3,core4854,,
AGAP000219,,29.05,0.000376262,0.207657192,1.87E-06,6,,,
AGAP000220,,10.06,0.000138488,0.203788496,0,5,,,
AGAP000222,,148.39,0.039165639,0.242036789,1.69E-05,3,core4854,core6920,
AGAP000223,,0.69,3.39E-07,0.163074179,0,2,,,
AGAP000225,,36.02,0.000716264,0.22621498,0.000159349,2,,,
AGAP000226,Or41,15.18,0.000412965,0.202507424,4.54E-05,2,,,
AGAP000228,,3.99,3.89E-05,0.184492225,5.75E-08,2,,,
AGAP000230,Or52,18.44,0.000359546,0.210503675,0.000341457,2,,,
AGAP000232,,40.22,0.000466541,0.220243424,8.07E-05,2,,,
AGAP000233,,36.71,0.000603523,0.210535396,3.24E-07,6,,,
AGAP000234,,14.22,0.000213515,0.216026982,0.000102051,4,,,
AGAP000235,,122.69,0.030830201,0.243340963,5.07E-05,3,core4854,core6920,
AGAP000236,,54.19,0.000528222,0.222200784,4.07E-05,6,,,
AGAP000237,,2.65,2.93E-05,0.186713444,0,2,,,
AGAP000238,,2,1.05E-06,0.163848483,2.73E-07,7,,,
AGAP000239,,5.52,0.000404152,0.185871945,0,10,,,
AGAP000241,,3.47,3.76E-06,0.183328025,8.99E-06,1,,,
AGAP000242,,37.39,0.000501575,0.233943219,0.000128371,4,,,
AGAP000244,,37.48,0.00137723,0.209920307,9.53E-06,2,,,
AGAP000245,,9.52,0.000296047,0.2122855,7.53E-06,4,,,
AGAP000247,,44.48,0.009326191,0.22477225,4.40E-05,3,,,
AGAP000248,,3.44,1.46E-06,0.178985714,0.000170095,12,,,
AGAP000249,,0.67,8.57E-07,0.172108753,0,1,,,
AGAP000250,,4.06,1.22E-05,0.198985506,2.93E-06,8,,,
AGAP000251,,7.41,5.50E-05,0.196969894,0.000106261,2,,,
AGAP000252,,34.02,0.000424142,0.227777388,0.000191004,1,,,
AGAP000254,,79.87,0.000967763,0.219106243,8.93E-05,6,core4854,,
AGAP000255,,52.49,0.013795308,0.23220703,0.000135827,3,,,
AGAP000256,,87.89,0.007833654,0.233531305,1.70E-05,2,core4854,,
AGAP000258,,0.74,8.54E-06,0.17922475,0,4,,,
AGAP000260,ATPsynepsilon,9.01,0.000260622,0.201372678,0.00012537,5,,,
AGAP000261,,9.09,1.67E-05,0.197695467,4.71E-05,1,,,
AGAP000262,,94.02,0.020029877,0.241154321,7.95E-05,3,core4854,,
AGAP000266,,10.24,0.000422758,0.209908705,2.20E-05,2,,,
AGAP000267,,90.09,0.000790278,0.218631769,2.62E-06,6,core4854,,
AGAP000268,,4.87,4.05E-06,0.19216768,1.13E-05,12,,,
AGAP000269,,33.48,0.000773715,0.226554026,3.19E-05,5,,,
AGAP000270,,23.83,0.000246095,0.223750052,5.21E-05,1,,,
AGAP000271,,24.28,0.000563803,0.210258856,5.84E-05,4,,,
AGAP000272,,23.82,0.000360478,0.226082649,5.09E-05,1,,,
AGAP000273,,24.54,0.00019786,0.221290271,5.18E-05,1,,,
AGAP000274,,34.29,0.000157494,0.203061841,5.03E-05,7,,,
AGAP000275,,13.03,0.004197228,0.214201912,7.48E-07,3,,,
AGAP000277,,9.59,3.96E-05,0.219502968,0.000159924,2,,,
AGAP000278,OBP9,4.82,0.000626389,0.214696933,7.75E-05,6,,,
AGAP000279,Obp8,14.07,0.000108572,0.205885856,1.63E-05,2,,,
AGAP000280,,126.34,0.000919252,0.216543084,9.54E-05,6,core4854,,
AGAP000281,,1.46,6.77E-06,0.185717843,4.62E-06,16,,,
AGAP000283,,84.88,0.000736808,0.219686811,6.26E-05,6,core4854,,
AGAP000284,CYP315A1,0.71,1.37E-08,0.140585357,0,5,,,
AGAP000285,,14.7,0.003671099,0.227214033,9.17E-05,3,,,
AGAP000286,,16.17,0.00012173,0.232812154,0.000473991,1,,,
AGAP000287,,16.16,0.000132342,0.216412831,7.67E-06,1,,,
AGAP000288,,4.97,2.41E-05,0.196962446,0,1,,,
AGAP000289,,28.21,0.000323596,0.228727481,3.42E-05,1,,,
AGAP000290,CLIPA27,24.32,3.24E-05,0.196401972,0.000107894,7,,,
AGAP000291,,4.11,6.39E-05,0.213334215,1.58E-07,1,,,
AGAP000292,,17.29,0.000176417,0.223407905,0.00032518,4,,,
AGAP000293,IR100h,176.43,0.007644939,0.253200491,0.004461583,2,,,
AGAP000294,,18.62,0.000287071,0.206274942,1.53E-05,2,,,
AGAP000296,,17.79,0.000268227,0.206702417,0.000101174,5,,,
AGAP000298,,12.32,0.000627244,0.190418548,5.75E-07,13,,,
AGAP000299,,4.74,0.000606906,0.202245361,0,2,,,
AGAP000300,,8.14,8.16E-05,0.217634563,2.18E-05,1,,,
AGAP000301,,4.82,4.72E-06,0.17429049,0.000296798,9,,,
AGAP000303,,38.94,0.002794927,0.221672786,0.000193011,2,,,
AGAP000304,,21.59,0.001545656,0.23040604,8.17E-05,5,,,
AGAP000305,,17.17,0.000241938,0.220116054,0.000126835,5,,,
AGAP000306,,5.27,0.000104247,0.192744085,1.73E-07,5,,,
AGAP000307,,2.01,4.19E-05,0.188735912,0,2,,,
AGAP000308,,9.64,7.55E-05,0.198335866,5.60E-06,5,,,
AGAP000309,,23.59,0.000695781,0.212817903,2.16E-05,2,,,
AGAP000310,,0.69,6.44E-09,0.142127921,0,12,,,
AGAP000312,,1.33,1.72E-06,0.167400349,0,4,,,
AGAP000314,,91.58,0.00776779,0.236293693,0.000248615,4,core4854,,
AGAP000315,CLIPC6,2.01,1.00E-06,0.160488099,1.29E-07,7,,,
AGAP000316,,9.6,0.000147438,0.198855655,6.21E-05,4,,,
AGAP000319,,0.7,1.07E-05,0.170925543,0,4,,,
AGAP000321,,3.49,7.64E-06,0.186596551,2.17E-06,12,,,
AGAP000322,,9.4,0.000121978,0.188359254,4.82E-05,4,,,
AGAP000323,,11.85,5.19E-05,0.201822201,3.45E-07,8,,,
AGAP000324,,24.14,0.000301509,0.230143758,4.40E-05,4,,,
AGAP000325,,6.83,5.88E-05,0.207908103,1.77E-06,1,,,
AGAP000326,,8.93,6.91E-05,0.204153503,1.58E-07,1,,,
AGAP000327,,10.76,8.52E-05,0.188936868,4.46E-07,7,,,
AGAP000328,,204.71,0.007820959,0.247414385,0.00084519,4,core4854,,
AGAP000329,alpha3,100.37,0.001363164,0.219894712,2.45E-05,6,core4854,,
AGAP000330,,1.4,1.31E-06,0.15483575,0,4,,,
AGAP000331,,10.48,0.000134533,0.204951915,0.000258313,6,,,
AGAP000332,Vir,8.99,0.000535315,0.214336153,2.88E-05,4,,,
AGAP000334,,3.58,0.000318274,0.197889747,8.84E-06,4,,,
AGAP000336,,184.72,0.038210288,0.251064245,0.000362521,3,core4854,,
AGAP000337,,12.55,5.54E-05,0.204456514,1.89E-05,1,,,
AGAP000338,,26.24,0.000286044,0.23908637,0.000345872,4,,,
AGAP000339,,3.45,1.65E-06,0.178946475,0,1,,,
AGAP000340,,1.31,3.49E-05,0.162717011,0,10,,,
AGAP000342,,42.47,0.000662434,0.216062441,2.78E-06,6,,,
AGAP000343,Vps50,9.56,0.000172513,0.22632444,2.88E-07,4,,,
AGAP000344,CPR127,73.23,0.01788717,0.225382547,0.000104394,3,core4854,,
AGAP000345,CPR126,99.73,0.017701634,0.233568779,9.04E-05,3,core4854,,
AGAP000346,SPZ1,5.66,4.73E-05,0.211233881,2.40E-05,6,,,
AGAP000347,CAPA,9.52,6.81E-05,0.191077319,1.06E-06,6,,,
AGAP000348,,15.5,0.000849357,0.205456094,3.74E-06,2,,,
AGAP000349,,1.34,3.99E-06,0.178007012,1.77E-06,4,,,
AGAP000351,GPRNPY1,8.79,0.000119327,0.196506765,5.75E-08,6,,,
AGAP000352,TWDL1,7.05,0.000243486,0.189919588,3.63E-06,2,,,
AGAP000354,,7.7,0.003802465,0.211847482,0,3,,,
AGAP000355,,0.69,5.42E-07,0.164882735,0,1,,,
AGAP000356,,2.09,5.39E-07,0.173650035,1.91E-06,14,,,
AGAP000357,,11.49,6.29E-06,0.191704929,0.000260788,14,,,
AGAP000358,,138.6,0.009869075,0.237877213,1.51E-05,5,core4854,core6920,
AGAP000359,,11.21,0.000585836,0.184400425,0.000210189,3,,,
AGAP000360,,16.38,0.001138928,0.209937781,1.33E-06,2,,,
AGAP000361,,3.33,1.36E-05,0.18775768,2.84E-05,6,,,
AGAP000363,,68.41,0.000590516,0.207754813,1.91E-05,6,,,
AGAP000364,,46.68,0.006588871,0.230848103,6.58E-05,3,,,
AGAP000365,,5.37,3.54E-06,0.182658564,9.53E-05,9,,,
AGAP000366,,3.35,1.72E-05,0.198892909,1.20E-05,7,,,
AGAP000367,,8.29,0.000170265,0.213419974,1.29E-07,1,,,
AGAP000368,,8.29,3.04E-05,0.198509741,0.000132704,2,,,
AGAP000369,GPRNNA10,16.32,0.000288936,0.213312617,2.19E-05,2,,,
AGAP000374,,4.83,2.49E-05,0.1978751,6.36E-05,1,,,
AGAP000375,,10.6,0.000209556,0.220416241,7.09E-05,1,,,
AGAP000376,Tsf1,3.5,5.15E-05,0.205956644,0,1,,,
AGAP000377,,2.76,7.63E-05,0.168024965,1.53E-05,10,,,
AGAP000378,,21.16,0.007187395,0.224962514,5.75E-08,3,,,
AGAP000379,PBD3,30.49,0.00136891,0.213410044,8.01E-05,2,,,
AGAP000380,,6.8,0.000367658,0.209315002,3.91E-05,7,,,
AGAP000382,,40.26,0.000708122,0.22656533,9.96E-05,2,,,
AGAP000383,,43.53,0.000851781,0.229619238,0.000379861,2,,,
AGAP000387,,6.95,1.98E-05,0.207181709,0.000156481,12,,,
AGAP000388,TRAF6,26.2,0.000223676,0.204676887,5.73E-05,2,,,
AGAP000389,,188.94,0.042795893,0.253114149,0.000955167,3,core4854,core6920,
AGAP000390,,3.47,6.96E-05,0.190584459,1.27E-06,2,,,
AGAP000391,,2.01,1.19E-05,0.188078838,7.91E-07,2,,,
AGAP000392,Ykt6,2.8,7.88E-06,0.19194619,0.00010393,16,,,
AGAP000393,,60.62,0.017357019,0.227832689,3.92E-06,3,core4854,,
AGAP000394,,23.21,0.000254306,0.216096268,0.000461957,4,,,
AGAP000395,,31.46,0.000202113,0.224541808,5.39E-05,1,,,
AGAP000396,TPX1,87.81,0.002023805,0.233966184,0.000262618,5,,,
AGAP000397,,11.87,7.47E-05,0.22164676,4.75E-07,1,,,
AGAP000398,,32.51,0.000163137,0.220769442,4.70E-06,1,,,
AGAP000399,,18.05,0.00233778,0.233067189,8.11E-05,4,,,
AGAP000400,,73.29,0.001901655,0.231738025,0.000159503,4,,,
AGAP000401,,6.33,7.84E-05,0.213884555,0.00030103,2,,,
AGAP000402,,12.49,0.000185609,0.216184615,0.000111243,1,,,
AGAP000403,,56.05,0.004883263,0.230056094,0.00011733,4,,,
AGAP000405,,42.55,0.000416745,0.227376843,1.58E-05,1,,,
AGAP000406,,1.32,7.09E-07,0.149058418,1.57E-06,4,,,
AGAP000407,,28.06,0.000434244,0.238987922,0.000767579,4,,,
AGAP000411,,44.18,0.001860578,0.222345029,5.60E-05,2,,,
AGAP000412,,7.76,0.000171353,0.22607288,1.58E-07,1,,,
AGAP000413,,42.38,0.001810569,0.221972432,3.10E-05,2,,,
AGAP000414,,7.85,4.09E-05,0.20024868,3.79E-06,1,,,
AGAP000415,,7.04,3.66E-05,0.205580364,0,1,,,
AGAP000416,,15.75,6.37E-05,0.202088394,1.85E-06,1,,,
AGAP000417,,56.52,0.003673517,0.226173201,9.72E-05,2,,,
AGAP000420,,1.38,4.07E-05,0.174448273,9.72E-05,9,,,
AGAP000421,,2.06,5.06E-05,0.182435286,0,2,,,
AGAP000422,,35.03,0.001276433,0.214427722,8.65E-06,2,,,
AGAP000425,,58.56,0.002285549,0.232631631,6.49E-05,5,,,
AGAP000426,,4.7,0.000212359,0.204931176,2.18E-05,5,,,
AGAP000427,,15.5,9.52E-06,0.177176228,0.000196832,8,,,
AGAP000428,,45.29,0.000270458,0.232633637,0.000137098,1,,,
AGAP000429,,15.77,0.000166212,0.226305756,8.75E-05,1,,,
AGAP000430,,58.64,0.00048537,0.215574484,0.000103398,6,,,
AGAP000431,,39.83,0.002878063,0.226672248,5.46E-05,2,,,
AGAP000432,,47.02,0.000395917,0.224545199,7.84E-05,1,,,
AGAP000433,,21.48,0.00426095,0.226032604,9.56E-06,3,,,
AGAP000434,,1.33,6.99E-07,0.1597716,5.75E-08,4,,,
AGAP000436,Cht11,5.32,3.05E-05,0.19091632,3.02E-06,4,,,
AGAP000437,,7.21,4.08E-05,0.178877939,1.61E-05,13,,,
AGAP000438,,18.45,0.000178451,0.227868118,1.61E-05,4,,,
AGAP000439,,17.69,0.000320007,0.218598999,2.44E-07,1,,,
AGAP000440,ABCD2,4.06,0.00028496,0.202496794,0,5,,,
AGAP000441,,55.39,0.00396544,0.236353241,0.000164854,4,,,
AGAP000444,Ciao1,9.76,4.50E-05,0.198713165,1.66E-06,1,,,
AGAP000445,GPRADS,19.12,0.000119093,0.205510877,0.000155039,2,,,
AGAP000446,,30.75,0.001533767,0.227181577,6.69E-05,2,,,
AGAP000447,,55.95,0.000203325,0.228887376,0.000890728,1,,,
AGAP000448,,15.65,0.000222453,0.21339469,0,1,,,
AGAP000449,,119.36,0.001469054,0.224634181,0.000358408,6,core4854,,
AGAP000452,,6.94,2.05E-05,0.201418184,0,1,,,
AGAP000453,,2.01,2.34E-06,0.168569093,7.91E-07,4,,,
AGAP000454,,66.86,0.001108165,0.229520582,0.000176582,1,,,
AGAP000456,,110.83,0.029202957,0.24050335,3.09E-05,3,core4854,,
AGAP000457,,2,1.30E-05,0.174737133,0.000169592,5,,,
AGAP000458,,13.87,0.000369426,0.20925411,6.37E-05,2,,,
AGAP000460,,42.6,0.000559014,0.235220328,0.000335258,2,,,
AGAP000461,,123.16,0.020180932,0.247291795,0.00137867,3,core4854,,
AGAP000462,,153.5,0.023283977,0.259114102,0.000833268,5,core4854,core6920,
AGAP000463,,5.39,6.48E-05,0.214209861,2.26E-06,1,,,
AGAP000466,ACE2,84.5,0.000975152,0.221428196,0.000516727,6,core4854,,
AGAP000467,,8.29,1.61E-05,0.199245789,0.000225158,1,,,
AGAP000468,,8.28,1.07E-06,0.179460257,6.60E-05,14,,,
AGAP000469,,27.64,0.009416403,0.230880625,0.000108073,3,,,
AGAP000471,,15.55,0.00012991,0.209953853,0.000351185,6,,,
AGAP000472,,34.61,0.00188916,0.215225563,6.57E-05,4,,,
AGAP000473,,10.16,0.000215738,0.219531878,2.49E-05,1,,,
AGAP000474,,13.4,5.02E-05,0.213716729,0.000152198,1,,,
AGAP000475,,2.77,4.09E-06,0.188353352,2.59E-06,1,,,
AGAP000476,,4.22,0.000339927,0.192430549,1.40E-05,10,,,
AGAP000477,,19.87,0.000366186,0.219476472,0.000223916,2,,,
AGAP000478,,1.32,6.04E-09,0.134802341,8.63E-08,4,,,
AGAP000479,,35.7,0.000177125,0.222890783,1.81E-05,1,,,
AGAP000480,,13.15,2.86E-05,0.204317299,4.11E-06,1,,,
AGAP000481,,1.43,4.55E-05,0.201932266,0,1,,,
AGAP000482,,18.08,0.000212569,0.221355715,1.16E-05,1,,,
AGAP000483,,6.25,6.49E-05,0.208952716,0.000203192,12,,,
AGAP000484,,164.86,0.011607996,0.24135431,0.000547706,2,core4854,,
AGAP000485,,79.08,0.002495084,0.21629374,1.47E-05,2,,,
AGAP000488,,23.96,0.000555755,0.20633443,3.43E-05,2,,,
AGAP000489,,32.1,0.010119046,0.230143745,0.000148407,3,,,
AGAP000491,,49.32,0.000815153,0.230396632,6.69E-05,1,,,
